순위,이름,타율,게임수,타석,타수,득점,총안타,1루타,2루타,3루타,홈런,루타,타점,도루,도실 (도루자),희타,희비,볼넷,고의 4구,사구,삼진,병살,장타율,출루율,도루 성공률,멀티 히트,OPS,BB/K,장타/안타
1,최우석(60),0.636,7,27,22,10,14,7,2,3,2,28,13,12,0,0,1,3,0,1,1,0,1.273,0.667,1.000,5,1.940,3.00,0.500
2,장지원(1),0.500,6,23,20,5,10,8,1,1,0,13,5,9,0,0,1,0,0,2,4,0,0.650,0.522,1.000,2,1.172,0.00,0.200
3,이희성(84),0.478,8,26,23,9,11,9,2,0,0,13,12,10,0,0,1,0,0,2,1,0,0.565,0.500,1.000,3,1.065,0.00,0.182
4,백승찬(16),0.429,10,43,28,16,12,11,0,0,1,15,9,19,0,0,1,12,0,2,4,0,0.536,0.605,1.000,3,1.141,3.00,0.083
5,장재욱(66),0.267,8,25,15,10,4,2,1,1,0,7,5,9,0,0,0,6,0,4,10,0,0.467,0.560,1.000,1,1.027,0.60,0.500
6,이재욱(8),0.261,9,28,23,9,6,6,0,0,0,6,4,8,0,0,0,4,0,1,4,1,0.261,0.393,1.000,3,0.654,1.00,0.000
순위,이름,타율,경기,타석,타수,득점,총안타,1루타,2루타,3루타,홈런,루타,타점,도루,도실 (도루자),희타,희비,볼넷,고의 4구,사구,삼진,병살,장타율,출루율,도루 성공률,멀티 히트,OPS,BB/K,장타/안타
1,이재진(46),1.000,1,4,4,1,4,2,1,1,0,7,5,1,0,0,0,0,0,0,0,0,1.750,1.000,1.000,1,2.750,0.00,0.500
2,장효림(89),0.533,7,19,15,10,8,7,0,1,0,10,4,2,0,0,0,4,0,0,2,0,0.667,0.632,1.000,2,1.299,2.00,0.125
3,김민준(54),0.444,4,10,9,2,4,3,1,0,0,5,3,2,0,0,0,1,0,0,1,0,0.556,0.500,1.000,1,1.056,1.00,0.250
3,최태룡(0),0.444,4,10,9,3,4,3,1,0,0,5,4,3,0,0,0,1,0,0,3,0,0.556,0.500,1.000,1,1.056,0.33,0.250
4,최호준(83),0.333,5,6,6,3,2,2,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0.333,0.333,1.000,0,0.666,0.00,0.000
4,이주엽(48),0.333,7,13,12,3,4,4,0,0,0,4,4,1,0,0,0,1,0,0,2,0,0.333,0.385,1.000,1,0.718,0.50,0.000
4,강법보(20),0.333,1,4,3,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0.333,0.500,0.000,0,0.833,0.50,0.000
4,강승민(109),0.333,3,5,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0.333,0.600,1.000,0,0.933,0.00,0.000
5,방재영(12),0.313,5,17,16,7,5,3,0,2,0,9,3,6,0,0,0,1,0,0,2,0,0.563,0.353,1.000,2,0.916,0.50,0.400
6,최찬우(80),0.300,7,13,10,3,3,3,0,0,0,3,1,1,0,0,0,3,0,0,4,0,0.300,0.462,1.000,0,0.762,0.75,0.000
7,양현수(85),0.286,5,19,14,8,4,3,0,1,0,6,8,5,0,0,0,4,0,1,6,0,0.429,0.474,1.000,1,0.903,0.67,0.250
7,왕승일(41),0.286,4,12,7,5,2,0,2,0,0,4,3,0,0,0,0,5,0,0,0,0,0.571,0.583,0.000,1,1.154,0.00,1.000
7,허권(87),0.286,2,9,7,3,2,1,0,1,0,4,3,2,0,0,0,1,0,1,1,0,0.571,0.444,1.000,1,1.015,1.00,0.500
8,이상민(15),0.250,1,4,4,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0.500,0.250,0.000,0,0.750,0.00,1.000
9,이상호(81),0.200,3,6,5,2,1,0,1,0,0,2,2,0,0,0,1,0,0,0,3,0,0.400,0.167,0.000,0,0.567,0.00,1.000
10,홍준영(99),0.167,3,7,6,3,1,0,1,0,0,2,2,0,0,0,0,0,0,1,2,0,0.333,0.286,0.000,0,0.619,0.00,1.000
11,김정규(82),0.000,5,10,6,3,0,0,0,0,0,0,1,1,0,0,0,4,0,0,5,0,0.000,0.400,1.000,0,0.400,0.80,0
11,최한원(40),0.000,7,11,6,2,0,0,0,0,0,0,1,0,1,0,0,4,0,1,4,0,0.000,0.455,0.000,0,0.455,1.00,0
11,이진모(14),0.000,2,6,3,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.000,0.500,0.000,0,0.500,0.00,0
11,김배성(90),0.000,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0.000,0.500,0.000,0,0.500,1.00,0
11,김재호(73),0.000,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.000,0.500,0.000,0,0.500,1.00,0
11,예원(56),0.000,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.000,0.667,0.000,0,0.667,0.00,0
11,최성혁(35),0.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,1.000,0.000,0,1.000,0.00,0
11,하장엽(72),0.000,3,5,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0.000,0.200,1.000,0,0.200,0.33,0
11,김윤도(107),0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.00,0
11,김승환(110),0.000,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.000,0.333,1.000,0,0.333,1.00,0
